method,dataset,test acc,test mcc,test ll,test rs,test ps,test avg std,test avg var,test avg entr,valid acc,valid mcc,valid ll,valid rs,valid ps,valid avg std,valid avg var,valid avg entr,dropout,run,iterations,run save path
Adv-ALSTM,kdd17,52.68991619,0.049515912,7.582946274,0.562915601,0.551352705,0.177772999,0.062125884,0.201085193,51.14002478,0.026512214,7.824369686,0.594026829,0.500853606,0.173133001,0.060618378,0.195957831,0.95,5,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.95/5
Adv-ALSTM,kdd17,53.52798054,0.057399093,7.44024216,0.660869565,0.550255537,0.228739038,0.084621854,0.267127148,50.63197026,0.02048433,7.898681284,0.671728676,0.496910691,0.218743041,0.079676412,0.253255859,0.9,1,1000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.9/1
Adv-ALSTM,kdd17,52.8521222,0.047135891,7.552075286,0.616879795,0.547932758,0.220631376,0.080915958,0.256307942,51.23915737,0.032107392,7.802969845,0.659073652,0.501540832,0.212725237,0.077951573,0.246978482,0.9,2,1000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.9/2
Adv-ALSTM,kdd17,53.4603947,0.061613939,7.456479708,0.602046036,0.555057769,0.241692111,0.089696035,0.282752042,51.33828996,0.032092238,7.790083371,0.625158188,0.502441009,0.236447051,0.087165773,0.275673049,0.9,3,2000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.9/3
Adv-ALSTM,kdd17,52.77101919,0.045481025,7.565076291,0.616112532,0.547251249,0.21739307,0.0793024,0.25197689,51.28872367,0.032780374,7.795525035,0.653758542,0.501943257,0.209719017,0.07627409,0.242460465,0.9,4,1000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.9/4
Adv-ALSTM,kdd17,52.24384969,0.031627612,7.646910829,0.639897698,0.54073914,0.24423714,0.090601169,0.285889011,51.09045849,0.029078873,7.826697766,0.658820552,0.500384468,0.234599203,0.086038537,0.27262493,0.9,5,2000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.9/5
Adv-ALSTM,kdd17,52.13571235,0.0291962,7.664079245,0.640664962,0.539754363,0.297269225,0.115689799,0.358736758,51.11524164,0.030336448,7.821701622,0.670969375,0.500566465,0.290538728,0.111171022,0.346970425,0.75,1,2000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.75/1
Adv-ALSTM,kdd17,51.75723168,0.025444161,7.728123262,0.600767263,0.539132431,0.284163922,0.111840844,0.344875042,50.55762082,0.017869339,7.912232677,0.651986839,0.496243498,0.274186552,0.106589697,0.330359775,0.75,2,1000,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.75/2
Adv-ALSTM,kdd17,53.20356853,0.058132715,7.499157754,0.583375959,0.554448226,0.323134065,0.128175259,0.394965799,51.52416357,0.035025056,7.761626445,0.611490762,0.504068433,0.318321496,0.12575908,0.38802723,0.75,3,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.75/3
Adv-ALSTM,kdd17,53.08191403,0.056614634,7.519454924,0.573657289,0.554237707,0.316139758,0.124507062,0.384535119,50.76827757,0.019426352,7.883156044,0.599595039,0.497689076,0.315323442,0.123337589,0.382071525,0.75,4,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.75/4
Adv-ALSTM,kdd17,53.47391187,0.056507285,7.449147008,0.657800512,0.550042772,0.294136792,0.115346096,0.356524292,51.02850062,0.029045724,7.834877009,0.678562389,0.499906769,0.283080518,0.108981833,0.339337772,0.75,5,500,./experiment1/dropout/tmp/kdd17/Adv-ALSTM/0.75/5
